,Date,month,year,AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_675nm,AOD_500nm,AOD_440nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,N[AOD_1640nm],N[AOD_1020nm],N[AOD_870nm],N[AOD_865nm],N[AOD_779nm],N[AOD_675nm],N[AOD_667nm],N[AOD_620nm],N[AOD_560nm],N[AOD_555nm],N[AOD_551nm],N[AOD_532nm],N[AOD_531nm],N[AOD_510nm],N[AOD_500nm],N[AOD_490nm],N[AOD_443nm],N[AOD_440nm],N[AOD_412nm],N[AOD_400nm],N[AOD_380nm],N[AOD_340nm],N[Precipitable_Water(cm)],N[AOD_681nm],N[AOD_709nm],N[AOD_Empty],N[AOD_Empty].1,N[AOD_Empty].2,N[AOD_Empty].3,N[AOD_Empty].4,N[440-870_Angstrom_Exponent],N[380-500_Angstrom_Exponent],N[440-675_Angstrom_Exponent],N[500-870_Angstrom_Exponent],N[340-440_Angstrom_Exponent],N[440-675_Angstrom_Exponent[Polar]],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),datetime
1762,17,2,2012,0.028693,0.038924,0.048161,0.056886,0.084561,0.092334,0.117071,0.145334,4.073713,1.067077,1.236412,1.219857,1.092735,1.82869,7,7,7,0,0,7,0,0,0,0,0,0,0,0,7,0,0,7,0,0,7,7,7,0,0,0,0,0,0,0,7,7,7,7,7,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-02-17
1763,18,2,2012,0.02543,0.032795,0.039761,0.046104,0.070737,0.077424,0.099908,0.124909,4.207944,1.038225,1.282096,1.246221,1.049415,1.892848,15,15,15,0,0,15,0,0,0,0,0,0,0,0,15,0,0,15,0,0,15,15,14,0,0,0,0,0,0,0,15,15,15,15,15,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-02-18
1764,21,2,2012,0.040737,0.041246,0.046505,0.046548,0.063582,0.065624,0.084396,0.107571,4.647555,0.604577,1.081657,0.87951,0.60613,1.988139,5,5,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,5,5,0,0,0,0,0,0,0,5,5,5,5,5,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-02-21
1765,28,2,2012,0.019672,0.026844,0.032345,0.040009,0.064616,0.07333,0.092559,0.111227,4.531159,1.24451,1.32006,1.43243,1.247941,1.63223,11,11,11,0,0,11,0,0,0,0,0,0,0,0,11,0,0,11,0,0,11,11,11,0,0,0,0,0,0,0,11,11,11,11,11,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-02-28
1766,29,2,2012,0.015368,0.018902,0.021193,0.022705,0.033506,0.034335,0.044051,0.051588,4.129359,0.805002,1.031295,1.043562,0.856836,1.681645,13,13,13,0,0,13,0,0,0,0,0,0,0,0,13,0,0,13,0,0,13,13,13,0,0,0,0,0,0,0,13,13,13,13,13,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-02-29
1767,3,3,2012,0.043972,0.065391,0.073174,0.085654,0.120055,0.134492,0.164284,0.193936,4.310891,0.957129,1.185586,1.10078,0.93935,1.477063,10,17,17,0,0,17,0,0,0,0,0,0,0,0,17,0,0,17,0,0,17,17,17,0,0,0,0,0,0,0,17,17,17,17,17,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-03-03
1768,4,3,2012,0.029884,0.045332,0.056826,0.071443,0.107623,0.121984,0.151963,0.182667,4.016114,1.152487,1.272919,1.265691,1.156961,1.586579,1,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-03-04
1769,5,3,2012,0.034527,0.058413,0.0686,0.08589,0.128592,0.148716,0.185841,0.219493,3.472116,1.182427,1.361776,1.305046,1.166498,1.53861,10,14,14,0,0,14,0,0,0,0,0,0,0,0,14,0,0,14,0,0,14,14,14,0,0,0,0,0,0,0,14,14,14,14,14,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-03-05
1771,7,3,2012,0.069031,0.07098,0.074144,0.080981,0.102578,0.110473,0.130751,0.147176,3.929786,0.649995,0.926475,0.775468,0.634354,1.162527,6,6,6,0,0,6,0,0,0,0,0,0,0,0,6,0,0,6,0,0,6,6,6,0,0,0,0,0,0,0,6,6,6,6,6,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-03-07
1772,8,3,2012,0.042751,0.05167,0.061934,0.073059,0.11004,0.123823,0.158387,0.195662,4.013708,1.055606,1.342849,1.245565,1.040793,1.794943,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-03-08
1773,11,3,2012,0.062831,0.065547,0.070761,0.072594,0.093121,0.098464,0.121945,0.150204,4.337534,0.580375,1.055079,0.793307,0.561591,1.733307,7,7,7,0,0,7,0,0,0,0,0,0,0,0,7,0,0,7,0,0,7,7,7,0,0,0,0,0,0,0,7,7,7,7,7,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-03-11
1774,12,3,2012,0.020314,0.028503,0.034489,0.039379,0.062679,0.068772,0.091728,0.116449,4.421429,1.086424,1.405088,1.343491,1.091906,2.063296,30,30,30,0,0,30,0,0,0,0,0,0,0,0,30,0,0,30,0,0,30,30,30,0,0,0,0,0,0,0,30,30,30,30,30,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-03-12
1775,13,3,2012,0.041276,0.054606,0.063863,0.0768,0.115623,0.130647,0.164732,0.198946,4.764,1.084669,1.307907,1.255041,1.073741,1.661424,11,11,11,0,0,11,0,0,0,0,0,0,0,0,11,0,0,11,0,0,11,11,11,0,0,0,0,0,0,0,11,11,11,11,11,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-03-13
1776,14,3,2012,0.01448,0.023346,0.027217,0.032226,0.052381,0.057474,0.073382,0.091007,4.22574,1.16479,1.245144,1.387315,1.187324,1.802306,2,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-03-14
1777,16,3,2012,0.011805,0.019135,0.024028,0.026233,0.044667,0.046196,0.064974,0.087947,4.708164,1.074591,1.393027,1.391711,1.132311,2.525124,2,2,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,2,2,0,0,0,0,0,0,0,2,2,2,2,2,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-03-16
1778,17,3,2012,0.014362,0.022332,0.027873,0.03286,0.054176,0.059128,0.079658,0.101198,4.488646,1.180436,1.433434,1.417895,1.208427,2.113659,32,32,32,0,0,32,0,0,0,0,0,0,0,0,32,0,0,32,0,0,32,32,32,0,0,0,0,0,0,0,32,32,32,32,32,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-03-17
1779,19,3,2012,0.011426,0.017507,0.021696,0.024212,0.040536,0.042847,0.05845,0.07523,4.489014,1.095804,1.350884,1.389431,1.141826,2.227841,31,31,31,0,0,31,0,0,0,0,0,0,0,0,31,0,0,31,0,0,31,31,31,0,0,0,0,0,0,0,31,31,31,31,31,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-03-19
1780,20,3,2012,0.016046,0.02292,0.028982,0.032614,0.054734,0.058712,0.078971,0.103465,4.73582,1.132135,1.366491,1.433258,1.163226,2.252009,3,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,3,3,0,0,0,0,0,0,0,3,3,3,3,3,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-03-20
1781,21,3,2012,0.018518,0.027166,0.03611,0.043336,0.056192,0.061416,0.09821,0.126621,4.811123,0.999678,1.548223,1.465188,1.009821,2.223476,2,2,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,2,0,0,0,0,0,0,0,2,1,1,2,2,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-03-21
1782,24,3,2012,0.060311,0.066965,0.072766,0.07814,0.106946,0.115914,0.14584,0.179155,4.807576,0.75037,1.131129,0.961692,0.733666,1.711683,6,6,6,0,0,6,0,0,0,0,0,0,0,0,6,0,0,6,0,0,6,6,6,0,0,0,0,0,0,0,6,6,6,6,6,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-03-24
1783,25,3,2012,0.01817,0.026601,0.032252,0.036986,0.059599,0.065038,0.087999,0.114792,4.804849,1.106061,1.439156,1.361021,1.120259,2.216263,3,3,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,3,3,0,0,0,0,0,0,0,3,3,3,3,3,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-03-25
1784,26,3,2012,0.040922,0.048139,0.051681,0.055989,0.075896,0.081228,0.100662,0.119052,4.339999,0.746782,1.068832,0.926023,0.741633,1.504782,13,13,13,0,0,13,0,0,0,0,0,0,0,0,13,0,0,13,0,0,13,13,13,0,0,0,0,0,0,0,13,13,13,13,13,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-03-26
1785,29,3,2012,0.032025,0.042936,0.049064,0.056688,0.084822,0.095365,0.121935,0.152895,3.660528,1.022396,1.339744,1.232458,1.000031,1.84969,22,22,22,0,0,22,0,0,0,0,0,0,0,0,22,0,0,22,0,0,22,22,22,0,0,0,0,0,0,0,22,22,22,22,22,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-03-29
1786,30,3,2012,0.023903,0.03513,0.041859,0.050804,0.080301,0.09126,0.119187,0.150154,3.905197,1.198434,1.457254,1.391389,1.191949,1.948847,33,33,33,0,0,33,0,0,0,0,0,0,0,0,33,0,0,33,0,0,33,33,33,0,0,0,0,0,0,0,33,33,33,33,33,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-03-30
1787,31,3,2012,0.037765,0.046467,0.051784,0.056181,0.079761,0.087057,0.113706,0.145423,3.703724,0.85888,1.336892,1.090768,0.840255,2.038555,14,14,14,0,0,14,0,0,0,0,0,0,0,0,14,0,0,14,0,0,14,14,14,0,0,0,0,0,0,0,14,14,14,14,14,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-03-31
1788,1,4,2012,0.051304,0.060577,0.067435,0.076815,0.11048,0.123278,0.157351,0.193779,4.0629,1.014074,1.342963,1.204149,0.996713,1.810467,13,13,13,0,0,13,0,0,0,0,0,0,0,0,13,0,0,13,0,0,13,13,13,0,0,0,0,0,0,0,13,13,13,13,13,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-04-01
1789,2,4,2012,0.026419,0.038242,0.044701,0.053993,0.08454,0.095674,0.123316,0.152706,4.253107,1.162509,1.391889,1.354794,1.15606,1.834952,7,7,7,0,0,7,0,0,0,0,0,0,0,0,7,0,0,7,0,0,7,7,7,0,0,0,0,0,0,0,7,7,7,7,7,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-04-02
1790,3,4,2012,0.016313,0.026248,0.031628,0.037498,0.063865,0.070293,0.097332,0.127481,4.536355,1.252619,1.558186,1.51063,1.277789,2.336254,5,5,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,5,0,0,5,5,5,0,0,0,0,0,0,0,5,5,5,5,5,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-04-03
1791,4,4,2012,0.045217,0.04985,0.052255,0.054258,0.069534,0.071823,0.086462,0.101586,4.312277,0.600563,0.88039,0.776465,0.621626,1.494749,12,12,12,0,0,12,0,0,0,0,0,0,0,0,12,0,0,12,0,0,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-04-04
1792,5,4,2012,0.047365,0.055675,0.060411,0.065685,0.088474,0.095132,0.119456,0.146471,4.229067,0.777103,1.15232,0.953097,0.770896,1.728996,12,12,12,0,0,12,0,0,0,0,0,0,0,0,12,0,0,12,0,0,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-04-05
1793,6,4,2012,0.061106,0.067018,0.070528,0.074767,0.095329,0.101488,0.122407,0.143995,4.170219,0.61701,0.963251,0.777943,0.602464,1.408576,12,12,12,0,0,12,0,0,0,0,0,0,0,0,12,0,0,12,0,0,12,12,12,0,0,0,0,0,0,0,12,12,12,12,12,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-04-06
1794,7,4,2012,0.059711,0.067993,0.073293,0.079829,0.107898,0.116376,0.146344,0.178256,4.156456,0.751446,1.154047,0.932444,0.74421,1.741969,17,17,17,0,0,17,0,0,0,0,0,0,0,0,17,0,0,17,0,0,17,17,17,0,0,0,0,0,0,0,17,17,17,17,17,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-04-07
1795,8,4,2012,0.029645,0.040901,0.04748,0.055802,0.08655,0.096477,0.126658,0.159563,4.480414,1.11344,1.406473,1.324264,1.115038,1.986247,19,19,19,0,0,19,0,0,0,0,0,0,0,0,19,0,0,19,0,0,19,19,19,0,0,0,0,0,0,0,19,19,19,19,19,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-04-08
1796,10,4,2012,0.041653,0.049824,0.054622,0.059621,0.085375,0.092852,0.119426,0.148815,4.637972,0.907291,1.283105,1.137488,0.900177,1.909895,14,14,14,0,0,14,0,0,0,0,0,0,0,0,14,0,0,14,0,0,14,14,14,0,0,0,0,0,0,0,14,14,14,14,14,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-04-10
1797,17,4,2012,0.049522,0.060504,0.066865,0.074274,0.105196,0.115191,0.14751,0.183877,4.626195,0.843946,1.251001,1.045307,0.827906,1.843666,16,16,16,0,0,16,0,0,0,0,0,0,0,0,16,0,0,16,0,0,16,16,16,0,0,0,0,0,0,0,16,16,16,16,16,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-04-17
1798,18,4,2012,0.039522,0.051999,0.058821,0.069088,0.103302,0.115752,0.145815,0.178866,4.437764,1.029434,1.332586,1.218602,1.018325,1.816699,24,24,24,0,0,24,0,0,0,0,0,0,0,0,24,0,0,24,0,0,23,23,24,0,0,0,0,0,0,0,24,24,24,24,23,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-04-18
1799,19,4,2012,0.036091,0.049671,0.057007,0.068062,0.103641,0.117666,0.151328,0.186607,4.514147,1.100141,1.384898,1.28937,1.082658,1.7965,28,28,28,0,0,28,0,0,0,0,0,0,0,0,28,0,0,28,0,0,28,28,28,0,0,0,0,0,0,0,28,28,28,28,28,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-04-19
1800,20,4,2012,0.054709,0.068599,0.075976,0.088771,0.126755,0.142686,0.176041,0.210228,4.717458,0.962016,1.213683,1.123614,0.938449,1.52442,18,18,18,0,0,18,0,0,0,0,0,0,0,0,18,0,0,18,0,0,18,18,18,0,0,0,0,0,0,0,18,18,18,18,18,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-04-20
1801,22,4,2012,0.014323,0.022435,0.026003,0.032096,0.053344,0.058797,0.076855,0.094013,4.647845,1.275849,1.351854,1.460119,1.315452,1.839205,19,19,19,0,0,19,0,0,0,0,0,0,0,0,19,0,0,19,0,0,19,19,19,0,0,0,0,0,0,0,19,19,19,19,19,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-04-22
1802,23,4,2012,0.037834,0.045642,0.050278,0.056553,0.081599,0.08878,0.11231,0.137872,4.474613,0.916557,1.19722,1.112078,0.917566,1.758967,22,22,22,0,0,22,0,0,0,0,0,0,0,0,22,0,0,22,0,0,22,22,22,0,0,0,0,0,0,0,22,22,22,22,22,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-04-23
1803,24,4,2012,0.018927,0.028546,0.03431,0.041473,0.068974,0.076363,0.101762,0.131078,4.579281,1.251639,1.440206,1.475297,1.276482,2.130053,17,17,17,0,0,17,0,0,0,0,0,0,0,0,17,0,0,17,0,0,17,17,17,0,0,0,0,0,0,0,17,17,17,17,17,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-04-24
1804,25,4,2012,0.047937,0.058136,0.063555,0.072572,0.104359,0.115876,0.143441,0.172892,4.866651,0.948142,1.181908,1.12933,0.93275,1.576553,9,9,9,0,0,9,0,0,0,0,0,0,0,0,9,0,0,9,0,0,9,9,9,0,0,0,0,0,0,0,9,9,9,9,9,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-04-25
1805,26,4,2012,0.024749,0.036276,0.041206,0.04836,0.076038,0.084784,0.108186,0.136508,5.045199,1.112283,1.300055,1.333481,1.110494,1.867437,4,4,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,4,4,4,0,0,0,0,0,0,0,4,4,4,4,4,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-04-26
1806,28,4,2012,0.023646,0.039305,0.045369,0.060299,0.100966,0.116264,0.153026,0.18725,5.031655,1.420944,1.53235,1.553447,1.442949,1.875965,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-04-28
1807,1,5,2012,0.007061,0.015188,0.017669,0.020421,0.033589,0.035809,0.046463,0.060155,2.562477,1.127351,1.214602,1.363256,1.172778,2.018558,30,30,30,0,0,30,0,0,0,0,0,0,0,0,30,0,0,30,0,0,30,30,30,0,0,0,0,0,0,0,30,30,30,30,30,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-05-01
1808,2,5,2012,0.009272,0.017608,0.020936,0.023642,0.037597,0.040323,0.053623,0.071472,2.353499,1.038781,1.305681,1.28993,1.065343,2.246346,27,27,27,0,0,27,0,0,0,0,0,0,0,0,27,0,0,27,0,0,27,27,27,0,0,0,0,0,0,0,27,27,27,27,27,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-05-02
1809,3,5,2012,0.010447,0.01879,0.022104,0.025703,0.04052,0.044381,0.060258,0.077903,2.33584,1.095349,1.471167,1.313097,1.109273,2.186585,33,33,33,0,0,33,0,0,0,0,0,0,0,0,33,0,0,33,0,0,33,33,33,0,0,0,0,0,0,0,33,33,33,33,33,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-05-03
1810,4,5,2012,0.011994,0.020685,0.024279,0.028405,0.045005,0.050032,0.067663,0.086544,2.174905,1.117604,1.505944,1.350297,1.119189,2.170268,26,26,26,0,0,26,0,0,0,0,0,0,0,0,26,0,0,26,0,0,26,26,26,0,0,0,0,0,0,0,26,26,26,26,26,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-05-04
1811,5,5,2012,0.021241,0.032483,0.037803,0.046964,0.073527,0.083538,0.108453,0.132105,2.707365,1.199457,1.44495,1.361459,1.200305,1.808569,28,28,28,0,0,28,0,0,0,0,0,0,0,0,28,0,0,28,0,0,28,28,28,0,0,0,0,0,0,0,28,28,28,28,28,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-05-05
1812,6,5,2012,0.017199,0.02672,0.030572,0.035767,0.054679,0.060424,0.079361,0.099024,2.547502,1.050338,1.380704,1.249638,1.054043,1.948845,33,33,33,0,0,33,0,0,0,0,0,0,0,0,33,0,0,33,0,0,33,33,33,0,0,0,0,0,0,0,33,33,33,33,33,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-05-06
1813,7,5,2012,0.014718,0.024027,0.027801,0.032583,0.049982,0.054901,0.0731,0.091794,2.286884,1.058696,1.410136,1.249095,1.069829,2.008215,32,32,32,0,0,32,0,0,0,0,0,0,0,0,32,0,0,32,0,0,32,32,32,0,0,0,0,0,0,0,32,32,32,32,32,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-05-07
1814,8,5,2012,0.023268,0.03529,0.04062,0.049635,0.075785,0.085767,0.110976,0.135319,2.474932,1.120437,1.403685,1.283268,1.118069,1.825176,33,33,33,0,0,33,0,0,0,0,0,0,0,0,33,0,0,33,0,0,33,33,33,0,0,0,0,0,0,0,33,33,33,33,33,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-05-08
1815,9,5,2012,0.03043,0.044809,0.051202,0.061825,0.092723,0.104478,0.132926,0.16304,3.011856,1.084855,1.326175,1.241784,1.079139,1.745716,20,20,20,0,0,20,0,0,0,0,0,0,0,0,20,0,0,20,0,0,20,20,20,0,0,0,0,0,0,0,20,20,20,20,20,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-05-09
1816,10,5,2012,0.038971,0.050357,0.056252,0.066846,0.099953,0.114327,0.145318,0.176721,3.623317,1.084225,1.371202,1.263946,1.058185,1.705159,19,19,19,0,0,19,0,0,0,0,0,0,0,0,19,0,0,19,0,0,19,19,19,0,0,0,0,0,0,0,19,19,19,19,19,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-05-10
1817,11,5,2012,0.030877,0.046396,0.054915,0.070755,0.116195,0.136016,0.176752,0.218447,4.182225,1.364602,1.543336,1.536396,1.353784,1.862964,16,16,16,0,0,16,0,0,0,0,0,0,0,0,16,0,0,16,0,0,16,16,16,0,0,0,0,0,0,0,16,16,16,16,16,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-05-11
1818,12,5,2012,0.031518,0.04757,0.056449,0.073434,0.120466,0.141742,0.183271,0.226168,4.261071,1.383976,1.544705,1.546562,1.37143,1.83526,11,11,11,0,0,11,0,0,0,0,0,0,0,0,11,0,0,11,0,0,11,11,11,0,0,0,0,0,0,0,11,11,11,11,11,0,lev15,636,CUIABA-MIRANDA,-15.73091,-56.07086,210,2012-05-12
